star_name,planet_amount,star_temp,star_radius,star_mass,star_metallicity,star_surfaceGravity
TOI-286,2,5152,0.78,0.832,-0.05,4.59
TOI-2969,1,4738,0.7,0.71,0.08,4.56
TOI-2989,1,4672,0.76,0.77,-0.04,4.58
TOI-3235,1,3388.8,0.3697,0.3939,0.264,4.8976
TOI-3261,1,5068,0.849,0.861,0.138,4.19
TOI-332,1,5251,0.87,0.88,0.256,4.46
TOI-3493,1,5844,1.228,1.023,0.03,4.25
TOI-3629,1,3870,0.6,0.63,0.4,4.67
TOI-3757,1,3913,0.62,0.64,0,4.68
TOI-3785,1,3576,0.5,0.52,0.099,4.747
TOI-3884,1,3269,0.3043,0.2813,0.23,4.921
TOI-4010,4,4960,0.83,0.88,0.37,4.54
TOI-406,2,3392,0.41,0.408,-0.02,4.69
HD 22946,3,6040,1.157,1.104,-0.14,4.26
TOI-4127,1,6096,1.293,1.23,0.14,4.26
TOI-4184,1,3238,0.2347,0.2109,-0.27,5.01
TOI-4201,1,3794,0.63,0.61,0.52,4.64
TOI-4364,1,3528,0.4684,0.487,0.148,4.785
TOI-4438,1,3422,0.372,0.368,-0.19,4.68
TOI-444,1,5225,0.779,0.96,0.08,4.64
TOI-4465,1,5545,1.014,0.93,-0.06,4.379
TOI-4479,1,3400,0.451,0.452,0,4.5
TOI-4504,3,5315,0.92,0.89,0.16,4.458
TOI-4515,1,5433,0.86,0.949,0.05,4.48
TOI-4562,2,6096,1.152,1.192,0.08,4.39
TOI-4600,2,5170,0.81,0.89,0.16,4.57
TOI-4603,1,6264,2.738,1.765,0.342,3.81
TOI-470,1,5190,0.831,0.87,0.1,4.54
TOI-481,1,5735,1.66,1.14,0.26,4.06
TOI-4860,1,3260,0.358,0.34,0.27,4.86
TOI-500,4,4440,0.678,0.74,0.12,4.618
TOI-5005,1,5749,0.93,0.97,0.15,4.43
TOI-5126,2,6150,1.241,1.24,0.18,4.224
TOI-5143,1,5183,0.852,0.864,0.107,4.514
TOI-5153,1,6300,1.4,1.24,0.12,4.3
TOI-519,1,3322,0.35,0.335,0.27,4.87
TOI-5205,1,3430,0.394,0.392,0,4.84
TOI-530,1,3659,0.54,0.53,0.376,4.7
TOI-5300,1,4610,0.65,0.67,-0.17,4.64
TOI-5398,2,6000,1.051,1.146,0.09,4.44
TOI-5542,1,5700,1.058,0.89,-0.21,4.2
TOI-558,1,6466,1.496,1.349,-0.004,4.218
TOI-559,1,5925,1.233,1.026,-0.069,4.268
TOI-561,4,5372,0.843,0.806,-0.4,4.5
TOI-5678,1,5485,0.938,0.905,0,4.34
TOI-5713,1,3225,0.2992,0.2653,-0.03,4.91
TOI-5720,1,3325,0.383,0.383,0.03,5.01
TOI-5795,1,5715,1.082,0.901,-0.27,4.32
TOI-5799,2,3452,0.321,0.325,0.01,4.936
TOI-5800,1,4850,0.773,0.778,-0.04,4.56
TOI-6002,1,3229,0.2432,0.2101,-0.18,4.989
TOI-6008,1,3075,0.242,0.23,0.3,5.01
TOI-6016,1,6110,1.51,1.31,0.28,4.19
TOI-6086,1,3200,0.259,0.254,0.11,5.01
TOI-6130,1,6110,1.51,1.31,0.28,4.19
TOI-615,1,6850,1.732,1.449,-0.1,4.2
TOI-620,1,3708,0.55,0.577,0.35,4.718
TOI-622,1,6400,1.415,1.313,0.09,4.2
TOI-6223,1,3895,0.576,0.582,-0.12,4.682
TOI-654,1,3521,0.43,0.419,0.12,4.793
TOI-663,3,3681,0.512,0.514,0.07,4.7266
TOI-6695,2,6400,1.517,1.338,0.2,4.202
TOI-674,1,3514,0.42,0.42,0.17,4.81
TOI-677,1,6295,1.28,1.181,0,4.291
TOI-700,4,3480,0.42,0.416,-0.07,4.81
TOI-712,3,4622,0.674,0.732,-0.02,4.645
TOI-7149,1,3363,0.351,0.344,-0.08,4.88
TOI-715,1,3075,0.24,0.225,-0.25,5
TOI-733,1,5585,0.949,0.956,-0.04,4.47
TOI-756,2,3657,0.505,0.505,0.196,4.735
TOI-757,1,5278,0.78,0.8,-0.27,4.5
TOI-763,2,5450,0.897,0.917,0.01,4.45
TOI-771,2,3370,0.232,0.22,-0.13,4.8
TOI-776,2,3709,0.538,0.544,-0.2,4.727
TOI-778,1,6643,1.71,1.4,0,4.05
HD 307842,1,5558,0.907,0.91,-0.13,4.48
TOI-813,1,5907,1.94,1.32,0.1,3.86
TOI-824,1,4600,0.695,0.71,-0.092,4.605
TOI-836,2,4552,0.665,0.678,-0.284,4.743
TOI-837,1,6047,1.022,1.118,-0.069,4.467
